name,color
De Gea, #FFFF33
Evans,#984EA3
Evra,#FF7F00
Jones,#F781BF
Rafael,#377EB8
Smalling,#A65628
Vidic,#F781BF
Nani,#A65628
Anderson,#FFFF33
Giggs,#984EA3
Valencia,#F781BF
Young,#F781BF
Kagawa,#377EB8
WRooney,#A65628
Welbeck,#377EB8
JOINT,#CDCDCD
MISC,#CDCDCD
MUSCLE,#CDCDCD
FRACTURE,#CDCDCD
LIGAMENT,#CDCDCD
